,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer,Unnamed: 0
0,17 seconds ago,2019-20 Rudy Gobert,Base Set,Utah Jazz,Dunk,42.00 USD,$42.00,2344.0,phongqbanh,Spartanking8,
1,17 seconds ago,NBA Top Shot (SN# 2265752),,,,4.00 USD,$4.00,,half_court_shot,dyl702,
2,17 seconds ago,2020-21 Jordan Clarkson,Base Set,Utah Jazz,Dunk,4.00 USD,$4.00,4449.0,Kate,Bounce1,
3,22 seconds ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,178.00 USD,$178.00,3220.0,pingu,skrt,
4,29 seconds ago,2019-20 Josh Hart,Base Set,New Orleans Pelicans,Layup,14.00 USD,$14.00,3285.0,KingsOfCardio,0x837ae1...da577b,
5,31 seconds ago,2020-21 Draymond Green,Base Set,Golden State Warriors,Assist,4.00 USD,$4.00,8340.0,Always_Hoops,DDSF15,
6,34 seconds ago,2019-20 Luguentz Dort,Base Set,Oklahoma City Thunder,Dunk,95.00 USD,$95.00,1317.0,Takeflight,PullParadox,
7,43 seconds ago,2020-21 Kira Lewis Jr.,Base Set,New Orleans Pelicans,Layup,70.00 USD,$70.00,896.0,ayasin413,stormVIII,
8,45 seconds ago,2020-21 Jordan Clarkson,Base Set,Utah Jazz,Dunk,4.00 USD,$4.00,3887.0,BlueDevils09,Bounce1,
9,45 seconds ago,2020-21 Joel Embiid,Base Set,Philadelphia 76ers,Jump Shot,10.00 USD,$10.00,6823.0,Jam1995,Baraboomba,
10,59 seconds ago,2020-21 Bojan Bogdanović,Base Set,Utah Jazz,Layup,2.00 USD,$2.00,1385.0,Steef,JoshAHoops,
11,1 minute ago,2019-20 Serge Ibaka,Metallic Gold LE,Toronto Raptors,Dunk,211.00 USD,$211.00,103.0,NFTking,Sharkanadoo,
12,1 minute ago,2020-21 Kawhi Leonard,Base Set,LA Clippers,Layup,38.00 USD,$38.00,3180.0,rba333,Bruinboy_916,
13,1 minute ago,NBA Top Shot (SN# 2141137),,,,28.00 USD,$28.00,,nbalive99,olizzo55,
14,1 minute ago,2019-20 LaMarcus Aldridge,Base Set,San Antonio Spurs,Jump Shot,21.00 USD,$21.00,2527.0,Rocky,Spawn,
15,1 minute ago,2020-21 Devin Vassell,Base Set,San Antonio Spurs,3 Pointer,52.00 USD,$52.00,1636.0,pingu,Breeza,
16,1 minute ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,6.00 USD,$6.00,4078.0,dun,0x653ee7...e0907c,
17,1 minute ago,2019-20 Seth Curry,Base Set,Dallas Mavericks,Assist,29.00 USD,$29.00,3143.0,jhuynh59,hippychickcher,
18,1 minute ago,2020-21 Otto Porter Jr.,Base Set,Chicago Bulls,Jump Shot,2.00 USD,$2.00,5541.0,draftaddict,bibaboba,
19,1 minute ago,2020-21 Nikola Vučević,Base Set,Orlando Magic,Layup,3.00 USD,$3.00,3281.0,Elementary_Maltese,thegraymatters,
20,1 minute ago,2020-21 Thanasis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,499.00 USD,$499.00,2.0,Squirtle,ekaitza,
21,1 minute ago,2019-20 Josh Richardson,Base Set,Philadelphia 76ers,Block,15.00 USD,$15.00,2531.0,KingsOfCardio,bmwbeetle,
22,1 minute ago,2020-21 Fred VanVleet,Base Set,Toronto Raptors,3 Pointer,3.00 USD,$3.00,8679.0,LosAngelesLakers,Bounce1,
23,1 minute ago,2019-20 Kemba Walker,Base Set,Boston Celtics,Layup,60.00 USD,$60.00,768.0,yokomson,ThurmanMurman69,
24,1 minute ago,2020-21 Kevin Durant,Base Set,Brooklyn Nets,3 Pointer,40.00 USD,$40.00,9758.0,Slick,0x7f8f16...2b3d44,
25,1 minute ago,2019-20 CJ McCollum,Base Set,Portland Trail Blazers,Dunk,54.00 USD,$54.00,1016.0,webhe4d,0xa39cd4...fc2d9d,
26,2 minutes ago,2020-21 Deandre Ayton,Base Set,Phoenix Suns,Dunk,9.00 USD,$9.00,4350.0,LosAngelesLakers,dependable_vervet_monkey6157,
27,2 minutes ago,2019-20 Damian Lillard,Base Set,Portland Trail Blazers,Layup,124.00 USD,$124.00,2340.0,nextgencollecting,dansilver,
28,2 minutes ago,2019-20 Malcolm Brogdon,Got Game,Indiana Pacers,Assist,199.00 USD,$199.00,115.0,GreekFreak34,khrtcml,
29,2 minutes ago,2020-21 Kawhi Leonard,Base Set,LA Clippers,Layup,37.00 USD,$37.00,6178.0,elpresidente,dpd2k10,
30,2 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,74.00 USD,$74.00,4754.0,blakemo92,KingsGambit,
31,2 minutes ago,2020-21 Stanley Johnson,Base Set,Toronto Raptors,Dunk,5.00 USD,$5.00,2327.0,krot,dyl702,
32,2 minutes ago,2019-20 Danny Green,Base Set,Los Angeles Lakers,Dunk,44.00 USD,$44.00,422.0,Cryptodelphia,Kelekin,
33,2 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Dunk,54.00 USD,$54.00,4084.0,jv2pt0,Johnnycrypto,
34,2 minutes ago,2020-21 Ish Smith,Base Set,Washington Wizards,Assist,2.00 USD,$2.00,5345.0,PunchingDonkeys,bibaboba,
35,2 minutes ago,2020-21 Nikola Vučević,Base Set,Orlando Magic,Layup,9.00 USD,$9.00,718.0,baller_basket,Tommy_Gambles24,
36,2 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11846.0,tmoney7004,thetruth777,
37,2 minutes ago,2019-20 Luka Dončić,Base Set,Dallas Mavericks,3 Pointer,700.00 USD,$700.00,1573.0,scorbles,TMPDUMAS,
38,2 minutes ago,2019-20 Rui Hachimura,Base Set,Washington Wizards,Dunk,88.00 USD,$88.00,3603.0,grundum,TheGloveGP,
39,3 minutes ago,2020-21 Jonas Valančiūnas,Base Set,Memphis Grizzlies,Dunk,8.00 USD,$8.00,680.0,Omer,BeerdadB,
40,3 minutes ago,2019-20 Landry Shamet,Base Set,Los Angeles Clippers,Dunk,15.00 USD,$15.00,2048.0,KingsOfCardio,Kelekin,
41,3 minutes ago,2020-21 Tobias Harris,Cool Cats,Philadelphia 76ers,Dunk,260.00 USD,$260.00,1404.0,0x501265...e33d0b,MAC86,
42,3 minutes ago,2020-21 Keldon Johnson,Base Set,San Antonio Spurs,Dunk,16.00 USD,$16.00,4160.0,Jernst11,BoysRBuzzin,
43,3 minutes ago,2020-21 JaMychal Green,Base Set,Denver Nuggets,Dunk,2.00 USD,$2.00,4782.0,PunchingDonkeys,bibaboba,
44,3 minutes ago,NBA Top Shot (SN# 2206487),,,,50.00 USD,$50.00,,Fleo,0x1ff75e...a12554,
45,3 minutes ago,2019-20 De'Andre Hunter,Base Set,Atlanta Hawks,Dunk,192.00 USD,$192.00,1557.0,MrShowcase,SammyDub,
46,3 minutes ago,2019-20 Seth Curry,Base Set,Dallas Mavericks,Assist,27.00 USD,$27.00,2988.0,Marleau,Corabeth007,
47,3 minutes ago,2019-20 CJ McCollum,Metallic Gold LE,Portland Trail Blazers,Dunk,405.00 USD,$405.00,183.0,HawkeyeStateCards,adolescent_nurse_shark5602,
48,3 minutes ago,2020-21 Andre Drummond,Base Set,Cleveland Cavaliers,Dunk,3.00 USD,$3.00,10869.0,gucciIHOF,thegraymatters,
49,3 minutes ago,2020-21 Michael Porter Jr.,Base Set,Denver Nuggets,Dunk,5.00 USD,$5.00,11745.0,tmflynn_5,thetruth777,
50,4 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Dunk,28.00 USD,$28.00,5019.0,,AbsolootRasuperstar,
51,4 minutes ago,2019-20 Giannis Antetokounmpo,Base Set,Milwaukee Bucks,Dunk,465.00 USD,$465.00,737.0,,Averi,
52,4 minutes ago,2020-21 Deni Avdija,Base Set,Washington Wizards,3 Pointer,150.00 USD,$150.00,286.0,,biodegradable_armadillo,
53,4 minutes ago,2020-21 Zion Williamson,Base Set,New Orleans Pelicans,Layup,74.00 USD,$74.00,4375.0,,0xeff42d...86b069,
54,4 minutes ago,2020-21 Otto Porter Jr.,Base Set,Chicago Bulls,Jump Shot,2.00 USD,$2.00,5508.0,,bibaboba,
55,4 minutes ago,2020-21 Ja Morant,Base Set,Memphis Grizzlies,Handles,70.00 USD,$70.00,2245.0,,paco805,
56,4 minutes ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,10.00 USD,$10.00,6040.0,,0x653ee7...e0907c,
57,4 minutes ago,2020-21 Tyrese Maxey,Base Set,Philadelphia 76ers,Layup,132.00 USD,$132.00,815.0,,Lil_Keano,
