,Sold,Crypto,Set,Team,Play Category,Price,USD,SN#,Seller,Buyer
0,27 seconds ago,2020-21 Dillon Brooks,Base Set,Memphis Grizzlies,Layup,2.00 USD,$2.00,7254,Maurothon,ThrillerPoop
1,27 seconds ago,2020-21 T.J. McConnell,Base Set,Indiana Pacers,Assist,2.00 USD,$2.00,8788,KingsOfCardio,0x444668...cca00d
2,27 seconds ago,2019-20 Giannis Antetokounmpo,MVP Moves,Milwaukee Bucks,Dunk,425.00 USD,$425.00,435,clay,0x80a188...427dac
3,27 seconds ago,2020-21 Otto Porter Jr.,Base Set,Chicago Bulls,Jump Shot,2.00 USD,$2.00,8032,Chancellor707,0x444668...cca00d
4,50 seconds ago,2020-21 Gordon Hayward,Base Set,Charlotte Hornets,Jump Shot,15.00 USD,$15.00,9300,0x54ae7e...608f1b,0x97ab69...143ff1
5,1 minute ago,2020-21 Lonnie Walker IV,Base Set,San Antonio Spurs,Dunk,2.00 USD,$2.00,11692,0x3d60cc...5e29ed,ThrillerPoop
6,1 minute ago,2020-21 Bismack Biyombo,Base Set,Charlotte Hornets,Layup,2.00 USD,$2.00,12822,0x49d16e...ea504b,jomius_x
7,1 minute ago,2020-21 Shai Gilgeous-Alexander,Base Set,Oklahoma City Thunder,Jump Shot,5.00 USD,$5.00,14079,Eaglezzz,wetlikeimbook
8,1 minute ago,2020-21 Miles Bridges,Base Set,Charlotte Hornets,Dunk,3.00 USD,$3.00,9064,0x8fe92c...9ca470,0x7f90e3...2ed08f
9,1 minute ago,2020-21 Khris Middleton,Base Set,Milwaukee Bucks,Jump Shot,3.00 USD,$3.00,7641,DRIPPY,ExplosiveSlam
10,1 minute ago,2019-20 Jimmy Butler,Base Set,Miami Heat,Steal,64.00 USD,$64.00,2007,Pranked,Kizobe9d9
11,1 minute ago,2019-20 Zion Williamson,Base Set,New Orleans Pelicans,Block,"1,250.00 USD","$1,250.00",437,snowfro,JamesWorthy
12,1 minute ago,2020-21 Keldon Johnson,Base Set,San Antonio Spurs,Dunk,17.00 USD,$17.00,5042,StoneColdBroke,DraftMasterVlade
13,1 minute ago,2020-21 Bojan Bogdanović,Base Set,Utah Jazz,Layup,1.00 USD,$1.00,12965,0xb0028a...a58d95,TheSherm
14,1 minute ago,2020-21 Ivica Zubac,Base Set,LA Clippers,Dunk,2.00 USD,$2.00,7931,BrickolasCage,0x69528a...4e7158
15,1 minute ago,2019-20 Russell Westbrook,Base Set,Houston Rockets,Dunk,75.00 USD,$75.00,2172,JessePinkman,Kaleb
16,1 minute ago,2020-21 Dennis Schröder,Base Set,Los Angeles Lakers,Layup,3.00 USD,$3.00,11435,0xbaa58b...afe711,wetlikeimbook
17,1 minute ago,2020-21 Chris Paul,Base Set,Phoenix Suns,Assist,5.00 USD,$5.00,6118,Swervice,RobotPegasus
18,1 minute ago,2020-21 Andrew Wiggins,Base Set,Golden State Warriors,Layup,2.00 USD,$2.00,1596,BrickolasCage,DocEBrown
19,1 minute ago,2020-21 Stanley Johnson,Base Set,Toronto Raptors,Dunk,4.00 USD,$4.00,3996,bmac69,LoveHandlz
20,1 minute ago,2019-20 Donovan Mitchell,Got Game,Utah Jazz,Dunk,275.00 USD,$275.00,975,elCastor,benstnick
